Label2,Xmm,Ymm,Zmm
T9_Plat_Sup_G,187.52162995617675,184.923253,271.017493
T9_Plat_Sup_D,187.85552714245605,153.355365,272.452397
T9_Plat_Sup_Ant,168.60121999999998,170.62743949572754,269.582589
T9_Plat_Sup_Post,196.940574,169.2723971342163,271.555582
T9_Plat_Inf_G,184.5052794074707,184.923253,290.56806
T9_Plat_Inf_D,184.86534099621582,151.02364599999999,291.106149
T9_Plat_Inf_Ant,166.80759,170.8344557512207,286.442711
T9_Plat_Inf_Post,194.608855,169.53861719244384,291.644238
T9_Centroid_G,204.79028884790037,179.90108899999998,279.44755399999997
T9_Centroid_D,205.14325648986815,158.556892,280.165006
T10_Plat_Sup_G,183.74900775427247,185.10261599999998,292.182327
T10_Plat_Sup_D,183.69935012683104,150.844283,292.89977899999997
T10_Plat_Sup_Ant,165.731412,171.18824445184325,290.74742299999997
T10_Plat_Sup_Post,195.50566999999998,169.38448806176757,294.15532
T10_Plat_Inf_G,180.31858090478516,189.407328,314.243976
T10_Plat_Inf_D,180.67289508294678,152.45855,314.782065
T10_Plat_Inf_Ant,157.660077,170.6777649175415,310.118627
T10_Plat_Inf_Post,191.559684,169.86747855230712,315.67888
T10_Centroid_G,203.57700499999999,181.515356,300.433025
T10_Centroid_D,203.038916,158.915618,301.15047699999997
T11_Plat_Sup_G,179.47567114233397,190.842232,318.728051
T11_Plat_Sup_D,179.44753619909665,148.333201,316.934421
T11_Plat_Sup_Ant,158.018803,170.72520021289063,316.934421
T11_Plat_Sup_Post,190.483506,169.79173315454102,318.189962
T11_Plat_Inf_G,175.40735835021974,191.559684,343.838871
T11_Plat_Inf_D,176.6029620684204,145.463393,337.381803
T11_Plat_Inf_Ant,158.37752899999998,169.68853155535888,336.843714
T11_Plat_Inf_Post,189.048602,169.89406990527343,343.121419
T11_Centroid_G,197.47866299999998,184.02643799999998,327.875564
T11_Centroid_D,198.196115,158.018803,327.158112
T12_Plat_Sup_G,175.10980669372557,190.30414299999998,349.578487
T12_Plat_Sup_D,174.9825535496826,145.104667,338.99607
T12_Plat_Sup_Ant,155.507721,169.7078538023682,340.7897
T12_Plat_Sup_Post,188.33115,169.25071023828124,341.148426
T12_Plat_Inf_G,172.39159896374508,187.075609,374.86867
T12_Plat_Inf_D,171.39804135931396,146.89829699999999,362.492623
T12_Plat_Inf_Ant,153.893454,166.32182980493164,365.183068
T12_Plat_Inf_Post,185.281979,166.74243078515624,370.20523199999997
T12_Centroid_G,194.608855,182.232808,358.726
T12_Centroid_D,194.42949199999998,156.404536,351.192754
L1_Plat_Sup_G,171.4718928484497,177.92809599999998,378.994019
L1_Plat_Sup_D,169.31940547906493,140.979318,364.824342
L1_Plat_Sup_Ant,152.637913,165.24430526873778,368.411602
L1_Plat_Sup_Post,184.02643799999998,165.7202784446411,375.40675899999997
L1_Plat_Inf_G,170.45257589715575,169.856761,400.696942
L1_Plat_Inf_D,168.16460290228272,132.011168,384.912998
L1_Plat_Inf_Ant,151.02364599999999,159.72471109332275,389.038347
L1_Plat_Inf_Post,182.770897,161.83409835705567,391.370066
L1_Centroid_G,191.559684,168.959946,383.478094
L1_Centroid_D,191.739047,148.333201,377.200389
L2_Plat_Sup_G,169.79347379888915,170.215487,400.876305
L2_Plat_Sup_D,167.31792721746825,123.04301799999999,394.5986
L2_Plat_Sup_Ant,151.741098,154.38313338171386,389.75579899999997
L2_Plat_Sup_Post,184.02643799999998,159.57915381500243,392.266881
L2_Plat_Inf_G,166.7701168829956,168.959946,418.274516
L2_Plat_Inf_D,164.7769039451904,119.455758,420.068146
L2_Plat_Inf_Ant,149.768105,150.29037493658447,417.198338
L2_Plat_Inf_Post,180.080452,154.34867081311035,418.991968
L2_Centroid_G,185.36995269799803,161.067974,407.333373
L2_Centroid_D,184.38866718359375,135.419065,404.10483899999997
L3_Plat_Sup_G,166.31011603479004,171.112302,420.785598
L3_Plat_Sup_D,163.8357408303833,121.42875099999999,428.67757
L3_Plat_Sup_Ant,143.4904,149.09350131433106,422.041139
L3_Plat_Sup_Post,181.694719,152.90260041540526,421.50305
L3_Plat_Inf_G,164.5133331695557,171.291665,439.080624
L3_Plat_Inf_D,163.20688653295898,125.01601099999999,456.837561
L3_Plat_Inf_Ant,146.718934,146.09151381835937,443.02661
L3_Plat_Inf_Post,182.232808,152.45082110119628,440.15680199999997
L3_Centroid_G,185.999431,165.910775,427.601392
L3_Centroid_D,183.847075,135.239702,436.748905
L4_Plat_Sup_G,164.56312216638182,178.466185,435.134638
L4_Plat_Sup_D,162.36797258929442,138.64759899999999,454.326479
L4_Plat_Sup_Ant,148.153838,148.78454241625977,444.999603
L4_Plat_Sup_Post,181.694719,155.2080345910034,443.56469899999996
L4_Plat_Inf_G,165.88926326324463,194.608855,456.65819799999997
L4_Plat_Inf_D,164.0176217435913,141.87613299999998,473.15959399999997
L4_Plat_Inf_Ant,144.745941,154.9118294707031,465.088259
L4_Plat_Inf_Post,183.667712,159.70462252490233,462.21845099999996
L4_Centroid_G,188.15178699999998,177.390007,448.40749999999997
L4_Centroid_D,188.33115,152.996639,455.043931
L5_Plat_Sup_G,167.48094567651367,194.967581,457.734376
L5_Plat_Sup_D,164.87011052368163,142.593585,472.980231
L5_Plat_Sup_Ant,147.07766,159.56518487042237,467.41997799999996
L5_Plat_Sup_Post,182.95026,163.04394470605467,462.039088
L5_Plat_Inf_G,173.67432247894286,195.32630699999999,495.22124299999996
L5_Plat_Inf_D,171.6895171817627,145.642756,493.24825
L5_Plat_Inf_Ant,156.942625,173.6202092398682,498.987866
L5_Plat_Inf_Post,188.33115,171.8474012873535,488.405449
L5_Centroid_G,192.27713599999998,187.793061,471.186601
L5_Centroid_D,192.27713599999998,157.83944,477.10558
S1_Plat_Sup_Ant,166.448864,195.146944,509.57028299999996
S1_Plat_Sup_Post,189.945417,145.642756,490.737168
Hips_Hip_G,132.6298521175537,260.435076,591.718537
Hips_Hip_D,124.59435906469726,79.11549322564699,586.657662821289
